fold_id,customer_id,model,map_at_12,precision_at_10,recall_at_10,hit_rate_at_12,candidate_recall,candidate_count,ground_truth_count,predictions
0,0010e8eb18f131e724d6997909af0808adbba057529edb1523944f7d4e02b4ce,tabular_only,0.0,0.0,0.0,0.0,0.4444444444444444,4168,9,0556539001 0243937001 0160442007 0179208001 0158340001 0148033001 0297067002 0688537001 0688537021 0123173001 0305931001 0111586001
0,0010e8eb18f131e724d6997909af0808adbba057529edb1523944f7d4e02b4ce,image_history,0.0,0.0,0.0,0.0,0.4444444444444444,4168,9,0123173001 0673396002 0111593001 0240561001 0573085004 0758034001 0723529001 0759465001 0886737001 0684209006 0590928019 0748355003
0,0010e8eb18f131e724d6997909af0808adbba057529edb1523944f7d4e02b4ce,late_fusion,0.010101010101010102,0.0,0.0,1.0,0.4444444444444444,4168,9,0399087001 0399223001 0160442007 0399223029 0399136009 0658030020 0751664001 0624486001 0748355003 0399136011 0562245001 0399201005
0,0010e8eb18f131e724d6997909af0808adbba057529edb1523944f7d4e02b4ce,late_fusion_hybrid_w025,0.010101010101010102,0.0,0.0,1.0,0.4444444444444444,4168,9,0399087001 0399223001 0399223029 0658030020 0399136009 0624486001 0718278002 0717490070 0316085001 0751664001 0562245001 0733782001
0,0010e8eb18f131e724d6997909af0808adbba057529edb1523944f7d4e02b4ce,late_fusion_hybrid_w045,0.0,0.0,0.0,0.0,0.4444444444444444,4168,9,0717490070 0399223001 0399087001 0624486001 0316085001 0399223029 0866714014 0718278002 0658030020 0688688001 0781613006 0733782001
0,0010e8eb18f131e724d6997909af0808adbba057529edb1523944f7d4e02b4ce,late_fusion_hybrid_w065,0.0,0.0,0.0,0.0,0.4444444444444444,4168,9,0717490070 0778204001 0688688001 0714582001 0878080001 0866714014 0575141004 0811913004 0881916001 0875329001 0791120002 0316085001
0,001143bec624de9df82bd687babb382e00b0285e2371cc9120de5d42c48f1076,tabular_only,0.0,0.0,0.0,0.0,0.0,4157,6,0243937001 0556539001 0160442007 0179208001 0158340001 0148033001 0123173001 0372860001 0111586001 0297067002 0305931001 0688537001
0,001143bec624de9df82bd687babb382e00b0285e2371cc9120de5d42c48f1076,image_history,0.0,0.0,0.0,0.0,0.0,4157,6,0123173001 0111593001 0240561001 0761148001 0910444001 0708297001 0573085028 0630116001 0266875001 0787849004 0854390001 0687704019
0,001143bec624de9df82bd687babb382e00b0285e2371cc9120de5d42c48f1076,late_fusion,0.0,0.0,0.0,0.0,0.0,4157,6,0399087001 0399223001 0658030020 0399136009 0399087028 0494691007 0519583042 0399223004 0372860001 0687704039 0751664001 0399201002
0,001143bec624de9df82bd687babb382e00b0285e2371cc9120de5d42c48f1076,late_fusion_hybrid_w025,0.0,0.0,0.0,0.0,0.0,4157,6,0399087001 0658030020 0399223001 0399087028 0494691007 0399136009 0519583042 0684325002 0687704012 0399201002 0687704039 0751664001
